LLAVEHOG,ORDEN,AÑOS_CUMPLIDOS,HIJOS,CANT_PERSONAS,VIVE_PADRES,NIVEL_EDUCACION_MADRE,AFILIADO_SS,ESTADO_SALUD,DISCAPACIDAD,LEER_ESCRIBIR,NIVEL_EDUCATIVO,SALARIO,ACTIVIDAD,TELEFONO,TIPO_VIVIENDA,SUBSIDIO,SEGURIDAD,CONDICIONES_VIDA,POBRE,INGRESO_HOGAR,COMIDA,AGUA_ALIMENTOS,AGUA24H,VIVIENDA,SATISFACCCION_INGRESO,SATISFACCION_SALUD,SATISFACCION_SEGURIDAD,SATISFACCION_TRABAJO,SATISFACCION_VIDA
60000131,2,37,1,3,2,,1,3,NO,1,,,1,1,1,NO,2,2,2,2,2,1,2,1,7,7,7,8,9
60000311,3,47,1,4,4,9,1,2,NO,1,,,1,1,1,NO,1,3,1,1,1,2,1,3,0,5,5,5,4
60000521,2,30,1,3,2,,1,2,NO,1,,2000000,1,1,1,NO,1,2,2,1,1,1,1,1,8,10,7,9,10
60000531,1,40,1,2,4,2,2,3,NO,1,,,2,1,2,SI,2,3,1,1,1,1,1,3,6,7,6,8,10
60000561,1,59,1,6,4,10,1,3,NO,1,,,4,1,1,NO,2,2,1,1,1,1,1,3,5,6,8,8,10
60000561,3,50,2,6,4,4,1,2,NO,1,,,2,1,1,NO,2,2,1,1,1,1,1,3,6,7,6,6,8
60000581,1,77,1,6,4,9,1,3,NO,1,,,4,1,1,NO,2,3,2,1,2,1,2,4,3,5,6,6,7
60000731,1,53,1,2,4,4,1,3,NO,1,,,1,1,1,NO,1,1,2,2,2,1,1,1,0,0,10,0,10
60000741,1,26,2,3,4,3,1,1,NO,1,,500000,1,1,1,NO,1,2,2,2,2,1,1,3,6,9,9,10,10
60001291,1,53,1,3,2,,1,1,NO,1,,,1,1,2,SI,1,1,2,2,2,1,1,1,5,10,10,8,10
60001341,3,31,2,5,3,,2,2,NO,1,,,4,1,2,NO,1,2,2,2,2,1,1,5,7,9,7,7,10
60001381,1,36,2,3,4,9,1,3,NO,1,,800000,1,1,1,NO,1,3,1,1,2,1,1,1,4,4,5,5,4
60001411,5,25,1,6,3,,1,2,NO,1,,1160000,6,1,2,NO,2,3,1,2,2,1,1,1,8,10,5,10,8
60001851,1,38,4,5,4,1,1,2,NO,1,,500000,1,1,1,SI,2,2,2,2,2,1,1,3,9,10,8,10,9
60001871,4,20,1,5,2,,1,2,NO,1,,,6,2,1,NO,2,2,2,2,2,1,2,1,6,9,9,5,8
60001921,1,52,2,8,4,9,1,3,NO,1,,,4,1,1,SI,1,4,2,1,2,1,2,1,9,3,7,3,8
60001971,1,47,2,3,4,1,9,2,NO,1,,700000,1,2,3,NO,1,2,1,1,1,1,2,3,7,6,7,8,10
60002451,3,36,1,4,3,,1,1,NO,1,,1100000,1,1,2,NO,1,2,2,2,2,1,1,3,10,10,10,10,10
60002461,1,41,3,7,2,,1,3,NO,1,,780000,1,1,2,NO,1,2,2,1,2,1,1,3,3,6,8,8,9
60002801,4,30,1,6,4,9,1,2,NO,1,,420000,4,1,2,SI,1,2,2,2,2,2,2,1,10,10,10,10,8
60003131,1,62,1,3,4,1,1,4,NO,1,,,1,2,1,NO,1,4,1,1,1,1,1,3,5,6,10,3,9
60003151,2,45,1,3,2,,1,2,NO,1,,,4,1,1,NO,1,1,2,2,2,1,1,1,1,3,1,9,4
60003201,1,22,1,2,4,3,1,3,NO,1,,,4,1,1,NO,2,3,1,1,2,1,1,3,0,7,6,6,5
60003511,2,21,2,4,2,,1,2,NO,1,,,4,1,1,NO,1,2,2,2,2,1,1,1,9,10,10,10,9
60003551,3,23,3,6,2,,1,2,NO,1,,,1,1,1,SI,1,2,2,3,2,6,,5,6,9,5,5,9
60003651,1,64,1,4,4,2,1,2,NO,2,,,5,1,1,NO,1,2,2,2,2,1,1,1,9,8,10,8,10
60003681,1,63,1,4,4,10,2,3,NO,2,,,4,1,1,SI,1,2,1,1,1,1,1,1,9,5,10,2,10
60003691,4,24,1,5,3,,1,2,NO,1,,,1,1,1,NO,1,3,1,1,2,1,1,3,2,10,10,3,10
60003891,4,66,1,4,4,1,1,3,NO,1,,,4,1,1,NO,2,1,1,1,2,1,1,1,9,5,7,7,7
60004121,1,33,1,2,4,1,1,1,NO,1,,640000,1,1,2,NO,2,2,2,2,2,1,1,3,7,10,6,5,10
60004241,1,33,1,2,4,2,1,2,NO,1,,,4,1,2,SI,2,3,1,2,2,1,1,1,6,6,8,8,7
60004331,4,33,1,5,2,,1,1,NO,1,,1300000,1,1,1,NO,1,2,2,2,2,1,1,4,8,10,4,10,8
60004601,1,47,1,3,4,9,1,2,NO,1,,,1,1,1,NO,1,2,2,1,2,1,1,1,10,10,8,10,10
60004631,1,23,3,4,4,2,1,1,NO,1,,,4,1,2,SI,1,2,2,2,2,1,1,4,2,10,10,8,10
60004641,5,28,1,6,3,,1,2,NO,1,,,1,1,2,NO,1,2,1,1,2,1,1,1,3,10,10,6,10
60004771,3,39,1,4,4,10,1,3,NO,1,,,4,1,1,SI,1,3,2,1,2,1,1,1,9,4,7,6,5
60004841,3,25,1,4,3,,1,2,NO,1,,,4,1,1,SI,1,2,2,2,2,1,1,1,7,8,0,0,10
60004881,3,37,1,4,3,,1,2,NO,1,,,1,1,1,SI,1,3,1,2,2,1,1,3,5,8,5,5,7
60004981,4,21,1,5,3,,1,3,NO,1,,1200000,1,1,2,SI,1,2,2,2,2,1,1,3,8,7,6,7,10
60005031,1,43,1,2,4,1,1,3,NO,1,,700000,1,1,1,NO,2,3,1,2,2,1,1,3,4,5,3,4,10
60005251,3,31,1,8,2,,1,2,NO,1,,,1,1,2,SI,1,2,1,2,2,1,1,1,5,10,7,10,10
60005261,3,23,1,4,3,,1,3,NO,1,,,4,1,1,SI,1,4,1,1,2,1,1,3,4,7,8,1,8
60005621,1,61,1,2,4,1,1,2,NO,1,,,6,1,1,NO,2,3,2,2,2,1,1,1,5,6,9,9,8
60005711,1,20,1,2,4,2,1,1,NO,1,,350000,1,1,1,NO,1,2,2,1,2,2,1,3,4,9,9,7,9
60006061,2,29,1,3,2,,1,3,NO,1,,2700000,1,1,1,NO,2,1,2,2,2,1,1,1,7,4,0,7,7
60006401,1,40,1,6,4,3,1,2,NO,1,,737717,1,1,2,NO,1,2,2,2,2,1,1,3,7,10,10,10,10
60006411,1,59,2,4,4,9,1,2,NO,1,,,1,1,1,NO,2,2,2,2,2,1,1,1,8,9,5,8,10
60006621,5,23,1,6,4,4,1,1,NO,1,,500000,1,1,2,NO,2,2,1,2,2,1,1,3,5,10,10,5,10
60006661,7,40,1,8,3,,1,3,NO,1,,,4,2,1,SI,1,3,1,1,1,1,1,1,3,7,8,3,10
